LOCALITE,Code Postal,NOM,POPULATION,SUPERFICIE,LOCTYPE,PROVINCE
DONCEEL,4357,Commune de Donceel,3119,2330,Commune/Village,Liège
DOUR,7370,Commune de Dour,16567,3331,Commune/Village,Hainaut
BARVAUX,6940,Ville de Durbuy,11506,15751,Ville/Village,Luxembourg
ECAUSSINNES,7190,Commune d'Ecaussinnes,11572,3477,Commune,Hainaut
EGHEZEE,5310,Commune d'Eghezée,16866,10280,Commune/Village,Namur
ELLEZELLES,7890,Commune d'Ellezelles,5970,4473,Commune/Village,Hainaut
ENGHIEN,7850,Ville d'Enghien,14509,4059,Ville/Village,Hainaut
ENGIS,4480,Commune d'Engis,6296,2774,Commune/Village,Liège
EREZEE ,6997,Commune d'Erezée,3345,7843,Commune/Village,Luxembourg
ERQUELINNES ,6560,Commune d'Erquelinnes,10039,4422,Commune/Village,Hainaut
ESNEUX,4130,Commune d'Esneux,12827,3404,Commune/Village,Liège
ESTAIMPUIS,7730,Commune d'Estaimpuis,10748,3175,Commune/Village,Hainaut
ESTINNES-AU-MONT ,7120,Commune d'Estinnes,7955,7272,Commune,Hainaut
ETALLE,6740,Commune d'Etalle,6024,7810,Commune/Village,Luxembourg
EUPEN ,4700,Ville d'Eupen,20093,10426,Ville/Village,Liège
FAIMES,4317,Commune de Faimes,4128,2847,Commune,Liège
FARCIENNES,6240,Commune de Farciennes,11394,1038,Commune/Village,Hainaut
FAUVILLERS,6637,Commune de Fauvillers,2453,7411,Commune/Village,Luxembourg
FERNELMONT,5380,Commune de Fernelmont,8210,6560,Commune,Namur
FERRIERES,4190,Commune de Ferrières,5122,5690,Commune/Village,Liège
FEXHE-LE-HAUT-CLOCHER,4347,Commune de Fexhe-le-Haut-Clocher,3426,1925,Commune/Village,Liège
FLEMALLE-HAUTE,4400,Commune de Flémalle,27002,3668,Commune/Village,Liège
FLERON,4620,Commune de Fléron,16380,1372,Commune/Village,Liège
FLEURUS,6220,Ville de Fleurus,22915,5928,Ville/Village,Hainaut
FLOBECQ,7880,Commune de Flobecq,3434,2300,Commune/Village,Hainaut
FLOREFFE,5150,Commune de Floreffe,8082,3889,Commune/Village,Namur
FLORENNES,5620,Commune de Florennes,11378,13354,Commune/Village,Namur
FLORENVILLE,6820,Ville de Florenville,5787,14691,Ville/Village,Luxembourg
FONTAINE-L'EVÊQUE,6140,Ville de Fontaine-l'Evêque,18122,2840,Ville/Village,Hainaut
FOSSES-LA-VILLE,5070,Ville de Fosses-la-Ville,10418,6323,Ville/Village,Namur
FRAMERIES ,7080,Commune de Frameries,21671,2594,Commune/Village,Hainaut
FRASNES-LEZ-ANVAING ,7910,Commune de Frasnes-lez-Anvaing,12134,11244,Commune,Hainaut
FROIDCHAPELLE ,6440,Commune de Froidchapelle,4084,8602,Commune/Village,Hainaut
GEDINNE,5575,Commune de Gedinne,4681,15155,Commune/Village,Namur
GEER,4250,Commune de Geer,3558,2362,Commune/Village,Liège
GEMBLOUX,5030,Ville de Gembloux,26496,9586,Ville/Village,Namur
GENAPPE,1470,Ville de Genappe,16068,9152,Ville/Village,Brabant wallon
GERPINNES,6280,Commune de Gerpinnes,12863,4710,Commune/Village,Hainaut
GESVES,5340,Commune de Gesves,7481,6491,Commune/Village,Namur
GOUVY,6671,Commune de Gouvy,5474,16511,Commune,Luxembourg
GRÂCE-HOLLOGNE,4460,Commune de Grâce-Hollogne,23261,3423,Commune/Village,Liège
GREZ-DOICEAU,1390,Commune de Grez-Doiceau,14064,5544,Commune/Village,Brabant wallon
HABAY-LA-NEUVE,6720,Commune de Habay,8723,10364,Commune,Luxembourg
HAMOIR,4180,Commune de Hamoir,3780,2780,Commune/Village,Liège
EMPTINNE,5363,Commune de Hamois,7469,7641,Commune/Village,Namur
HAM-SUR-HEURE-NALINNES,6120,Commune de Ham-sur-Heure-Nalinnes,13825,4567,Commune,Hainaut
HANNUT,4280,Ville de Hannut,17134,8653,Ville/Village,Liège
HASTIERE-LAVAUX,5540,Commune de Hastière,6148,5646,Commune,Namur
HAVELANGE,5370,Commune de Havelange,5428,10473,Commune/Village,Namur
HELECINE,1357,Commune de Hélécine,3848,1662,Commune,Brabant wallon
HENSIES,7350,Commune de Hensies,6816,2599,Commune/Village,Hainaut
HERBEUMONT,6887,Commune de Herbeumont,1750,5880,Commune/Village,Luxembourg
COUTHUIN,4218,Commune de Héron,5598,3831,Commune,Liège
HERSTAL,4040,Ville d'Herstal,40814,2354,Ville,Liège
HERVE,4650,Ville de Herve,17850,5683,Ville/Village,Liège
HONNELLES,7387,Commune de Honnelles,5176,4365,Commune,Hainaut
